Symbol,Name,Price,ROE(%),MarketCap($B)
AAPL,Apple Inc.,251.64,152.02,3698.59
MSFT,Microsoft Corporation,372.74,34.39,2770.34
GOOGL,Alphabet Inc.,290.44,35.71,3513.45
AMZN,"Amazon.com, Inc.",207.24,22.29,2224.7
META,"Meta Platforms, Inc.",592.92,30.24,1499.82
NVDA,NVIDIA Corporation,175.2,101.48,4258.24
JPM,JP Morgan Chase & Co.,292.4,16.13,788.61
V,Visa Inc.,303.76,53.95,585.66
JNJ,Johnson & Johnson,235.27,35.03,566.98
WMT,Walmart Inc.,122.05,21.85,973.03
MA,Mastercard Incorporated,498.93,209.91,445.26
PG,Procter & Gamble Company (The),143.16,31.56,334.53
HD,"Home Depot, Inc. (The)",330.91,145.54,329.59
ADBE,Adobe Inc.,238.87,58.77,98.06
NFLX,"Netflix, Inc.",90.92,42.76,385.67
AVGO,Broadcom Inc.,318.29,33.37,1509.1
COST,Costco Wholesale Corporation,973.82,29.65,432.25
PEP,"Pepsico, Inc.",150.59,42.85,205.91
KO,Coca-Cola Company (The),74.67,43.32,321.39
CMCSA,Comcast Corporation,29.22,21.41,106.47
LLY,Eli Lilly and Company,903.02,101.16,808.22
ABBV,AbbVie Inc.,205.2,6225.0,362.83
NKE,"Nike, Inc.",53.49,17.95,79.19
MRK,"Merck & Company, Inc.",116.37,36.88,287.71
ORCL,Oracle Corporation,147.09,57.57,423.04
CSCO,"Cisco Systems, Inc.",80.86,23.75,319.49
VZ,Verizon Communications Inc.,50.91,17.07,214.72
TXN,Texas Instruments Incorporated,194.63,30.15,177.2
T,AT&T Inc.,28.87,18.8,204.67
UPS,"United Parcel Service, Inc.",98.44,33.77,83.64
LMT,Lockheed Martin Corporation,610.17,76.87,141.19
BMY,Bristol-Myers Squibb Company,57.39,40.44,116.87
AMGN,Amgen Inc.,348.43,106.1,187.83
HON,Honeywell International Inc.,221.57,26.14,140.85
IBM,International Business Machines,240.59,35.16,225.77
GE,GE Aerospace,290.63,44.69,306.56
LIN,Linde plc,479.84,17.82,222.36
DE,Deere & Company,583.02,19.57,157.48
CAT,"Caterpillar, Inc.",716.63,43.53,335.37
INTU,Intuit Inc.,432.45,23.46,120.34
AXP,American Express Company,302.0,33.99,208.03
ISRG,"Intuitive Surgical, Inc.",471.91,16.69,167.61
AMT,American Tower Corporation (REI,170.36,26.28,79.75
GILD,"Gilead Sciences, Inc.",138.11,40.66,171.45
SYK,Stryker Corporation,328.51,15.08,125.72
TJX,"TJX Companies, Inc. (The)",158.38,59.13,176.27
ADP,"Automatic Data Processing, Inc.",204.89,73.84,82.87
NOW,"ServiceNow, Inc.",104.65,15.49,110.42
ZTS,Zoetis Inc.,115.93,65.99,51.09
VRTX,Vertex Pharmaceuticals Incorpor,448.62,22.54,113.96
CI,The Cigna Group,265.87,15.13,71.02
MU,"Micron Technology, Inc.",395.53,39.82,446.05
TGT,Target Corporation,115.92,24.03,52.5
